City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,la'ie,21.6477,-157.9253,20.25,90,99,4.02,US,1712498599
83,ankeny,41.7297,-93.6058,8.4,82,75,8.23,US,1712498487
84,tura,25.5198,90.2201,27.55,35,100,3.27,IN,1712498600
85,bodo,67.28,14.405,2.02,86,75,13.89,NO,1712498601
86,hengchun,22.0042,120.7439,27.21,82,37,1.66,TW,1712498601
87,bandon,51.7469,-8.7425,12.77,78,8,9.87,IE,1712498602
88,bredasdorp,-34.5322,20.0403,17.16,83,100,12.79,ZA,1712498603
89,pallasovka,50.05,46.8833,13.8,50,51,4.2,RU,1712498603
90,constantia,44.1833,28.65,16.5,83,46,3.46,RO,1712498382
91,stanley,54.868,-1.6985,13.2,75,7,11.72,GB,1712498605
92,invercargill,-46.4,168.35,10.57,91,61,1.79,NZ,1712498606
93,trairi,-3.2778,-39.2689,29.73,71,64,1.52,BR,1712498583
94,vila franca do campo,37.7167,-25.4333,18.27,99,100,8.0,PT,1712498607
95,west island,-12.1568,96.8225,28.99,79,40,5.14,CC,1712498608
96,silver city,32.7701,-108.2803,3.16,62,0,3.09,US,1712498608
97,tiksi,71.6872,128.8694,-8.45,73,100,7.79,RU,1712498609
98,hammerfest,70.6634,23.6821,-1.75,64,40,7.72,NO,1712498610
99,bilibino,68.0546,166.4372,-16.69,100,100,1.12,RU,1712498549
100,shpola,49.0069,31.3947,17.9,51,87,0.85,UA,1712498611
101,namibe,-15.1961,12.1522,25.76,71,80,4.0,AO,1712498611
102,enewetak,11.3474,162.3373,27.33,77,89,9.69,MH,1712498612
103,massawa,15.6097,39.45,32.0,61,20,5.65,ER,1712498613
104,avarua,-21.2078,-159.775,24.03,100,100,1.54,CK,1712498613
105,heroica guaymas,27.9333,-110.9,14.94,43,0,2.13,MX,1712498428
106,saint-joseph,-21.3667,55.6167,27.21,83,26,2.4,RE,1712498614
107,itamaraca,-7.7478,-34.8256,32.03,61,22,3.93,BR,1712498615
108,las vegas,36.175,-115.1372,10.38,34,0,12.07,US,1712498331
109,hithadhoo,-0.6,73.0833,29.19,73,100,1.37,MV,1712498532
110,ouallam,14.3188,2.0866,42.06,6,100,3.78,NE,1712498618
111,vorkuta,67.5,64.0,-7.16,87,100,6.71,RU,1712498618
112,broken hill,-31.95,141.4333,16.56,45,74,2.84,AU,1712498619
113,pisco,-13.7,-76.2167,22.23,83,100,1.54,PE,1712498438
114,paita,-5.0892,-81.1144,23.25,72,72,4.02,PE,1712498620
115,nova xavantina,-14.6667,-52.35,28.69,72,18,1.57,BR,1712498472
116,cuamba,-14.8031,36.5372,25.79,78,98,1.9,MZ,1712498621
117,grand falls-windsor,48.9332,-55.6649,3.61,77,99,2.24,CA,1712498622
118,nantucket,41.2835,-70.0995,4.49,87,100,7.72,US,1712498336
119,canto do buriti,-8.11,-42.9444,32.39,47,11,2.87,BR,1712498541
120,badger,64.8,-147.5333,-3.89,83,100,0.85,US,1712498624
121,port mathurin,-19.6833,63.4167,27.31,79,18,5.55,MU,1712498625
122,mariental,-24.6333,17.9667,27.66,4,0,11.77,NA,1712498625
123,puerto natales,-51.7236,-72.4875,9.25,49,40,8.23,CL,1712498515
124,hermanus,-34.4187,19.2345,16.56,85,100,14.02,ZA,1712498627
125,ta`u,-14.2336,-169.5144,28.73,77,82,4.32,AS,1712498627
126,tsumeb,-19.2333,17.7167,28.55,41,98,3.84,NA,1712498628
127,polyarnyy,69.1989,33.4478,-3.63,82,99,2.83,RU,1712498629
128,aykhal,66.0,111.5,-10.65,95,100,6.94,RU,1712498629
129,xinji,37.9028,115.2036,19.01,54,100,3.59,CN,1712498442
130,ketchikan,55.3422,-131.6461,4.26,87,100,6.17,US,1712498630
